# 按采集代码确定性重建；已省略 api_key（密钥不入库）与 mailto（不影响计数）。复核方法：点开 URL，核对返回的计数是否等于本表所列行的 count。
row_key	request_url	covers_rows
ai/hk	https://api.openalex.org/works?filter=primary_topic.subfield.id%3A1702%2Cauthorships.institutions.country_code%3Ahk%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A	46173
ai/sg	https://api.openalex.org/works?filter=primary_topic.subfield.id%3A1702%2Cauthorships.institutions.country_code%3Asg%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A	48718
biomed/hk	https://api.openalex.org/works?filter=primary_topic.field.id%3A27%7C13%2Cauthorships.institutions.country_code%3Ahk%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A	604070
biomed/sg	https://api.openalex.org/works?filter=primary_topic.field.id%3A27%7C13%2Cauthorships.institutions.country_code%3Asg%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A	619846
fintech_kw/hk	https://api.openalex.org/works?filter=authorships.institutions.country_code%3Ahk%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A&search=%22fintech%22+OR+%22financial+technology%22+OR+%22payment+system%22+OR+%22blockchain+finance%22+OR+%22digital+banking%22+OR+%22cryptocurrency%22	5429
fintech_kw/sg	https://api.openalex.org/works?filter=authorships.institutions.country_code%3Asg%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&select=id%2Cpublication_date%2Cauthorships%2Ccitation_normalized_percentile%2Cprimary_location&per_page=200&cursor=%2A&search=%22fintech%22+OR+%22financial+technology%22+OR+%22payment+system%22+OR+%22blockchain+finance%22+OR+%22digital+banking%22+OR+%22cryptocurrency%22	4816
