institution,group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
岭南大学,hk8,195,169,149,175,212,217,223,204,392,562,871
香港中文大学,hk8,5668,6141,6550,6884,7268,9152,9979,10943,12929,12394,16562
香港城市大学,hk8,3626,3936,4198,4541,5314,5989,6784,7780,8327,9225,10666
香港大学,hk8,7276,7883,8101,7937,9096,11965,12414,15504,16388,18722,20609
香港教育大学,hk8,638,825,834,837,967,1060,1262,1428,1580,1758,2325
香港浸会大学,hk8,1258,1416,1388,1473,1600,1995,2487,2935,2711,2970,3646
香港理工大学,hk8,4544,4871,5345,5878,6579,7599,8042,9392,11049,13146,15246
香港科技大学,hk8,2941,3281,3165,3459,3882,4651,4719,5339,6347,7539,8579
