industry,city,quarter,patent_families
fintech,sg,2017Q3,15
fintech,sg,2017Q4,22
fintech,sg,2018Q1,11
fintech,sg,2018Q2,19
fintech,sg,2018Q3,20
fintech,sg,2018Q4,23
fintech,sg,2019Q1,21
fintech,sg,2019Q2,16
fintech,sg,2019Q3,19
fintech,sg,2019Q4,18
fintech,sg,2020Q1,26
fintech,sg,2020Q2,28
fintech,sg,2020Q3,9
fintech,sg,2020Q4,12
fintech,sg,2021Q1,11
fintech,sg,2021Q2,18
fintech,sg,2021Q3,14
fintech,sg,2021Q4,7
fintech,sg,2022Q1,5
fintech,sg,2022Q2,27
fintech,sg,2022Q3,17
fintech,sg,2022Q4,17
fintech,sg,2023Q1,9
fintech,sg,2023Q2,11
fintech,sg,2023Q3,17
fintech,sg,2023Q4,7
