institution,ror,num_found
香港大学,02zhqgq86,7319
香港中文大学,00t33hh48,5353
香港科技大学,00q4vv597,4153
香港理工大学,0030zas98,6843
香港城市大学,03q8dnn23,8329
香港浸会大学,0145fw131,1915
香港教育大学,000t0f062,824
岭南大学,0563pg902,570
香港应用科技研究院,03xmkea05,44
新加坡国立大学,01tgyzw49,10839
南洋理工大学,02e7b5302,7116
