city,year,count
hk,2015,162
hk,2016,186
hk,2017,277
hk,2018,290
hk,2019,364
hk,2020,374
hk,2021,371
hk,2022,412
hk,2023,374
hk,2024,433
hk,2025,420
sg,2015,154
sg,2016,189
sg,2017,219
sg,2018,242
sg,2019,204
sg,2020,283
sg,2021,264
sg,2022,255
sg,2023,212
sg,2024,232
sg,2025,228
